generation,best,average,best_value,average_value
0,4.47187,3.36936,4.47187,3.36936
1,4.49715,3.53737,4.49715,3.53737
2,4.49715,3.59042,4.49715,3.59042
3,5.73713,3.85913,5.73713,3.85913
4,5.73718,4.17713,5.73718,4.17713
5,5.73718,4.27949,5.73718,4.27949
6,5.73718,4.64045,5.73718,4.64045
7,5.73749,4.83601,5.73749,4.83601
8,5.73749,4.57934,5.73749,4.57934
9,5.73749,4.60248,5.73749,4.60248
10,5.73749,4.49936,5.73749,4.49936
11,5.73764,4.77151,5.73764,4.77151
12,5.73764,5.00539,5.73764,5.00539
13,5.73764,5.19799,5.73764,5.19799
14,5.73765,5.1987,5.73765,5.1987
15,5.73767,5.22671,5.73767,5.22671
16,5.73772,5.32953,5.73772,5.32953
17,5.73772,5.4588,5.73772,5.4588
18,5.73772,5.59132,5.73772,5.59132
19,5.73773,5.71716,5.73773,5.71716
20,5.73773,5.71278,5.73773,5.71278
21,5.73773,5.73445,5.73773,5.73445
22,5.73773,5.7328,5.73773,5.7328
23,5.73773,5.73735,5.73773,5.73735
24,5.73773,5.7376,5.73773,5.7376
25,5.73773,5.73342,5.73773,5.73342
26,5.73773,5.73751,5.73773,5.73751
27,5.73773,5.73751,5.73773,5.73751
28,5.73773,5.73597,5.73773,5.73597
29,5.73774,5.73761,5.73774,5.73761
30,5.73775,5.7375,5.73775,5.7375
31,5.73775,5.43876,5.73775,5.43876
32,5.73775,5.45952,5.73775,5.45952
33,5.73775,5.60889,5.73775,5.60889
34,5.73775,5.73748,5.73775,5.73748
35,5.73775,5.7375,5.73775,5.7375
36,5.73775,5.7375,5.73775,5.7375
37,5.73775,5.73761,5.73775,5.73761
38,5.73775,5.73769,5.73775,5.73769
39,5.73775,5.73774,5.73775,5.73774
40,5.73775,5.71889,5.73775,5.71889
41,5.73775,5.73773,5.73775,5.73773
42,5.73775,5.7377,5.73775,5.7377
43,5.73775,5.73773,5.73775,5.73773
44,5.73775,5.7377,5.73775,5.7377
45,5.73775,5.7361,5.73775,5.7361
46,5.73775,5.73739,5.73775,5.73739
47,5.73775,5.73276,5.73775,5.73276
48,5.73775,5.73741,5.73775,5.73741
49,5.73775,5.7374,5.73775,5.7374
50,5.73775,5.73775,5.73775,5.73775
51,5.73775,5.73775,5.73775,5.73775
52,5.73775,5.73775,5.73775,5.73775
53,5.73775,5.73772,5.73775,5.73772
54,5.73775,5.73772,5.73775,5.73772
55,5.73775,5.73775,5.73775,5.73775
56,5.73775,5.73775,5.73775,5.73775
57,5.73775,5.73775,5.73775,5.73775
58,5.73775,5.73775,5.73775,5.73775
59,5.73775,5.73741,5.73775,5.73741
60,5.73775,5.73773,5.73775,5.73773
61,5.73775,5.73775,5.73775,5.73775
62,5.73775,5.73613,5.73775,5.73613
63,5.73775,5.73741,5.73775,5.73741
64,5.73775,5.73741,5.73775,5.73741
65,5.73775,5.73741,5.73775,5.73741
66,5.73775,5.73741,5.73775,5.73741
67,5.73775,5.73775,5.73775,5.73775
68,5.73775,5.73775,5.73775,5.73775
69,5.73775,5.73775,5.73775,5.73775
70,5.73775,5.73311,5.73775,5.73311
71,5.73775,5.73314,5.73775,5.73314
72,5.73775,5.73314,5.73775,5.73314
73,5.73775,5.73774,5.73775,5.73774
74,5.73775,5.71922,5.73775,5.71922
75,5.73775,5.71785,5.73775,5.71785
76,5.73775,5.7056,5.73775,5.7056
77,5.73775,5.73637,5.73775,5.73637
78,5.73775,5.73637,5.73775,5.73637
79,5.73775,5.7373,5.73775,5.7373
80,5.73775,5.67297,5.73775,5.67297
81,5.73775,5.73313,5.73775,5.73313
82,5.73775,5.73313,5.73775,5.73313
83,5.73775,5.73312,5.73775,5.73312
84,5.73775,5.71446,5.73775,5.71446
85,5.73775,5.71446,5.73775,5.71446
86,5.73775,5.73305,5.73775,5.73305
87,5.73775,5.733,5.73775,5.733
88,5.73775,5.71311,5.73775,5.71311
89,5.73775,5.73178,5.73775,5.73178
90,5.73775,5.73637,5.73775,5.73637
91,5.73775,5.73597,5.73775,5.73597
92,5.73775,5.73727,5.73775,5.73727
93,5.73775,5.73727,5.73775,5.73727
94,5.73775,5.73695,5.73775,5.73695
95,5.73775,5.5997,5.73775,5.5997
96,5.73775,5.73253,5.73775,5.73253
97,5.73775,5.73719,5.73775,5.73719
98,5.73775,5.73717,5.73775,5.73717
99,5.73775,5.73753,5.73775,5.73753
100,5.73775,5.73765,5.73775,5.73765
101,5.73775,5.7375,5.73775,5.7375
102,5.73775,5.7377,5.73775,5.7377
103,5.73775,5.73774,5.73775,5.73774
104,5.73775,5.73775,5.73775,5.73775
105,5.73775,5.73775,5.73775,5.73775
106,5.73775,5.50068,5.73775,5.50068
107,5.73775,5.24511,5.73775,5.24511
108,5.73775,5.28508,5.73775,5.28508
109,5.73775,5.52125,5.73775,5.52125
110,5.73775,5.62993,5.73775,5.62993
111,5.73775,5.71793,5.73775,5.71793
