generation,best,average,best_value,average_value
0,3.88146,2.63064,3.88146,2.63064
1,3.88146,2.79155,3.88146,2.79155
2,3.93447,3.17675,3.93447,3.17675
3,3.93447,3.33088,3.93447,3.33088
4,3.93447,3.52497,3.93447,3.52497
5,4.79393,3.7098,4.79393,3.7098
6,4.7957,3.93671,4.7957,3.93671
7,4.81327,3.9485,4.81327,3.9485
8,4.81327,4.03815,4.81327,4.03815
9,4.81327,4.18765,4.81327,4.18765
10,4.81327,4.19035,4.81327,4.19035
11,4.90569,4.36642,4.90569,4.36642
12,4.90569,4.54845,4.90569,4.54845
13,4.91799,4.65773,4.91799,4.65773
14,4.94768,4.77774,4.94768,4.77774
15,5.09635,4.88479,5.09635,4.88479
16,5.09973,4.91484,5.09973,4.91484
17,5.09973,4.94348,5.09973,4.94348
18,5.09973,4.97213,5.09973,4.97213
19,5.09973,4.9903,5.09973,4.9903
20,5.09973,4.99307,5.09973,4.99307
21,5.09973,4.99167,5.09973,4.99167
22,5.09973,4.99159,5.09973,4.99159
23,5.09973,5.02164,5.09973,5.02164
24,5.09973,4.92311,5.09973,4.92311
25,5.09973,4.92277,5.09973,4.92277
26,5.09973,4.95745,5.09973,4.95745
27,5.09973,5.03678,5.09973,5.03678
28,5.09973,5.03678,5.09973,5.03678
29,5.09973,5.05375,5.09973,5.05375
30,5.09973,5.06236,5.09973,5.06236
31,5.09973,4.78451,5.09973,4.78451
32,5.09973,4.89906,5.09973,4.89906
33,5.10622,5.07654,5.10622,5.07654
34,5.10622,5.09401,5.10622,5.09401
35,5.10622,5.0946,5.10622,5.0946
36,5.10622,5.10186,5.10622,5.10186
37,5.10622,5.10255,5.10622,5.10255
38,5.10622,5.10354,5.10622,5.10354
39,5.10622,5.10427,5.10622,5.10427
40,5.10622,5.10452,5.10622,5.10452
41,5.10622,5.10517,5.10622,5.10517
42,5.10622,5.10574,5.10622,5.10574
43,5.10622,5.10582,5.10622,5.10582
44,5.10622,5.10574,5.10622,5.10574
45,5.11821,5.10817,5.11821,5.10817
46,5.11821,5.10937,5.11821,5.10937
47,5.11821,4.91818,5.11821,4.91818
48,5.11821,5.10473,5.11821,5.10473
49,5.11821,5.1048,5.11821,5.1048
50,5.11821,5.1048,5.11821,5.1048
51,5.11821,5.10935,5.11821,5.10935
52,5.11821,5.11334,5.11821,5.11334
53,5.11821,5.11396,5.11821,5.11396
54,5.11821,5.11396,5.11821,5.11396
55,5.11821,5.11472,5.11821,5.11472
56,5.11821,5.1148,5.11821,5.1148
57,5.11821,5.1154,5.11821,5.1154
58,5.11821,5.11656,5.11821,5.11656
59,5.11821,4.94571,5.11821,4.94571
60,5.11821,5.07756,5.11821,5.07756
61,5.11821,5.11674,5.11821,5.11674
62,5.11821,5.03134,5.11821,5.03134
63,5.11821,5.11645,5.11821,5.11645
64,5.11821,5.11645,5.11821,5.11645
65,5.11821,5.10279,5.11821,5.10279
66,5.11821,5.10159,5.11821,5.10159
67,5.11821,5.11583,5.11821,5.11583
68,5.11821,5.11703,5.11821,5.11703
69,5.11821,5.11703,5.11821,5.11703
70,5.11821,5.10263,5.11821,5.10263
71,5.11821,5.10259,5.11821,5.10259
72,5.11821,5.11456,5.11821,5.11456
73,5.11821,5.11456,5.11821,5.11456
74,5.11821,5.10143,5.11821,5.10143
75,5.11821,4.96257,5.11821,4.96257
76,5.11821,4.87705,5.11821,4.87705
77,5.11821,5.02775,5.11821,5.02775
78,5.11821,5.029,5.11821,5.029
79,5.11821,5.11238,5.11821,5.11238
80,5.11821,5.08029,5.11821,5.08029
81,5.11821,5.08036,5.11821,5.08036
82,5.11821,5.11519,5.11821,5.11519
83,5.11821,4.81499,5.11821,4.81499
84,5.11821,4.796,5.11821,4.796
85,5.11821,4.96396,5.11821,4.96396
86,5.11821,5.11527,5.11821,5.11527
