generation,best,average,best_value,average_value
0,27,22.8667,27,22.8667
1,27,24.1667,27,24.1667
2,27,24.3667,27,24.3667
3,27,24.8333,27,24.8333
4,28,25.1,28,25.1
5,28,24.8,28,24.8
6,28,24.7333,28,24.7333
7,28,25.4333,28,25.4333
8,28,24.4333,28,24.4333
9,28,25.7333,28,25.7333
10,28,25.5333,28,25.5333
11,28,25.9667,28,25.9667
12,28,26.2333,28,26.2333
13,28,27.3,28,27.3
14,28,27.5,28,27.5
15,28,27.5,28,27.5
16,28,27.3667,28,27.3667
17,28,27.8,28,27.8
18,28,27.8333,28,27.8333
19,28,27.9333,28,27.9333
20,28,27.9333,28,27.9333
21,28,27.8,28,27.8
22,28,27.8667,28,27.8667
23,28,27.9,28,27.9
24,28,27.9333,28,27.9333
25,28,28,28,28
26,28,28,28,28
27,28,28,28,28
28,28,27.9333,28,27.9333
29,28,28,28,28
30,28,28,28,28
31,28,27.9333,28,27.9333
32,28,27.9333,28,27.9333
33,28,27.8333,28,27.8333
34,28,28,28,28
35,28,27.9333,28,27.9333
36,28,28,28,28
37,28,27.7667,28,27.7667
38,28,27.9333,28,27.9333
39,28,27.9,28,27.9
40,28,27.7333,28,27.7333
41,28,28,28,28
42,28,27.8667,28,27.8667
43,28,28,28,28
44,28,27.8667,28,27.8667
45,28,27.9,28,27.9
46,28,27.9333,28,27.9333
47,28,28,28,28
48,28,28,28,28
49,28,28,28,28
50,28,27.9667,28,27.9667
51,28,28,28,28
52,28,27.8667,28,27.8667
53,28,28,28,28
54,28,27.8667,28,27.8667
55,28,28,28,28
56,28,27.9333,28,27.9333
57,28,27.8333,28,27.8333
58,28,27.8333,28,27.8333
59,28,27.9333,28,27.9333
60,28,27.9333,28,27.9333
61,28,28,28,28
62,28,27.7667,28,27.7667
63,28,28,28,28
64,28,28,28,28
65,28,28,28,28
66,28,27.9667,28,27.9667
67,28,28,28,28
68,28,27.8667,28,27.8667
69,28,28,28,28
70,28,28,28,28
71,28,27.9333,28,27.9333
72,28,27.9,28,27.9
73,28,27.9667,28,27.9667
74,28,27.9333,28,27.9333
75,28,27.7667,28,27.7667
76,28,27.8667,28,27.8667
77,28,27.9,28,27.9
78,28,28,28,28
79,28,28,28,28
80,28,28,28,28
81,28,28,28,28
82,28,28,28,28
83,28,27.7,28,27.7
84,28,28,28,28
85,28,27.7667,28,27.7667
86,28,28,28,28
87,28,28,28,28
88,28,28,28,28
89,28,28,28,28
90,28,28,28,28
91,28,27.9333,28,27.9333
92,28,28,28,28
93,28,27.8667,28,27.8667
94,28,28,28,28
95,28,27.7333,28,27.7333
96,28,28,28,28
97,28,28,28,28
98,28,27.8667,28,27.8667
99,28,27.8667,28,27.8667
100,28,27.9667,28,27.9667
101,28,28,28,28
102,28,27.8,28,27.8
103,28,27.9,28,27.9
104,28,27.8333,28,27.8333
105,28,27.9667,28,27.9667
106,28,27.9333,28,27.9333
107,28,27.8,28,27.8
108,28,27.8333,28,27.8333
109,28,27.9,28,27.9
110,28,27.9,28,27.9
111,28,27.9,28,27.9
112,28,27.7,28,27.7
113,28,27.9,28,27.9
114,28,28,28,28
115,28,27.9333,28,27.9333
116,28,28,28,28
117,28,27.9333,28,27.9333
118,28,27.9333,28,27.9333
119,28,27.9333,28,27.9333
120,28,27.9333,28,27.9333
121,28,27.8667,28,27.8667
122,28,27.8333,28,27.8333
123,28,28,28,28
124,28,27.8333,28,27.8333
125,28,28,28,28
126,28,28,28,28
127,28,27.5667,28,27.5667
128,28,27.5333,28,27.5333
129,28,27.7333,28,27.7333
130,28,28,28,28
131,28,27.8333,28,27.8333
132,28,27.9667,28,27.9667
133,28,27.5,28,27.5
134,28,27.9,28,27.9
135,28,27.9667,28,27.9667
136,28,27.9333,28,27.9333
137,28,28,28,28
138,28,28,28,28
