generation,best,average,best_value,average_value
0,-3.88432e+06,-5.01279e+06,-3.88432e+06,-5.01279e+06
1,-3.82864e+06,-4.89908e+06,-3.82864e+06,-4.89908e+06
2,-3.82864e+06,-4.71186e+06,-3.82864e+06,-4.71186e+06
3,-3.82864e+06,-4.83572e+06,-3.82864e+06,-4.83572e+06
4,-3.82864e+06,-4.88466e+06,-3.82864e+06,-4.88466e+06
5,-3.82864e+06,-4.77547e+06,-3.82864e+06,-4.77547e+06
6,-3.82864e+06,-4.83956e+06,-3.82864e+06,-4.83956e+06
7,-3.82864e+06,-4.87361e+06,-3.82864e+06,-4.87361e+06
8,-3.82864e+06,-4.75115e+06,-3.82864e+06,-4.75115e+06
9,-3.76831e+06,-4.57406e+06,-3.76831e+06,-4.57406e+06
10,-3.76831e+06,-4.62624e+06,-3.76831e+06,-4.62624e+06
11,-3.76831e+06,-4.62275e+06,-3.76831e+06,-4.62275e+06
12,-3.76831e+06,-4.74546e+06,-3.76831e+06,-4.74546e+06
13,-3.76831e+06,-4.71602e+06,-3.76831e+06,-4.71602e+06
14,-3.76831e+06,-4.66152e+06,-3.76831e+06,-4.66152e+06
15,-3.76831e+06,-4.7615e+06,-3.76831e+06,-4.7615e+06
16,-3.76831e+06,-4.9002e+06,-3.76831e+06,-4.9002e+06
17,-3.70625e+06,-4.78815e+06,-3.70625e+06,-4.78815e+06
18,-3.70625e+06,-4.84998e+06,-3.70625e+06,-4.84998e+06
19,-3.70625e+06,-4.76954e+06,-3.70625e+06,-4.76954e+06
20,-3.70625e+06,-4.98093e+06,-3.70625e+06,-4.98093e+06
21,-3.70625e+06,-4.78952e+06,-3.70625e+06,-4.78952e+06
22,-3.70625e+06,-4.53379e+06,-3.70625e+06,-4.53379e+06
23,-3.70625e+06,-4.72452e+06,-3.70625e+06,-4.72452e+06
24,-3.70625e+06,-4.64515e+06,-3.70625e+06,-4.64515e+06
25,-3.70625e+06,-4.7153e+06,-3.70625e+06,-4.7153e+06
26,-3.70625e+06,-4.91716e+06,-3.70625e+06,-4.91716e+06
27,-3.70625e+06,-4.81509e+06,-3.70625e+06,-4.81509e+06
28,-3.70625e+06,-4.68071e+06,-3.70625e+06,-4.68071e+06
29,-3.70625e+06,-4.65095e+06,-3.70625e+06,-4.65095e+06
30,-3.58622e+06,-4.71384e+06,-3.58622e+06,-4.71384e+06
31,-3.58622e+06,-4.71659e+06,-3.58622e+06,-4.71659e+06
32,-3.58622e+06,-4.65072e+06,-3.58622e+06,-4.65072e+06
33,-3.58622e+06,-4.64336e+06,-3.58622e+06,-4.64336e+06
34,-3.58622e+06,-4.73913e+06,-3.58622e+06,-4.73913e+06
35,-3.58622e+06,-4.80814e+06,-3.58622e+06,-4.80814e+06
36,-3.58622e+06,-4.78463e+06,-3.58622e+06,-4.78463e+06
37,-3.58622e+06,-4.60895e+06,-3.58622e+06,-4.60895e+06
38,-3.58622e+06,-4.7381e+06,-3.58622e+06,-4.7381e+06
39,-3.58622e+06,-4.8891e+06,-3.58622e+06,-4.8891e+06
40,-3.58622e+06,-4.60421e+06,-3.58622e+06,-4.60421e+06
41,-3.58622e+06,-4.6853e+06,-3.58622e+06,-4.6853e+06
42,-3.58622e+06,-4.53796e+06,-3.58622e+06,-4.53796e+06
43,-3.58622e+06,-4.49402e+06,-3.58622e+06,-4.49402e+06
