generation,best,average,best_value,average_value
0,0.610294,0.388971,0.610294,0.388971
1,0.676471,0.456618,0.676471,0.456618
2,0.676471,0.519118,0.676471,0.519118
3,0.676471,0.497059,0.676471,0.497059
4,0.705882,0.582353,0.705882,0.582353
5,0.705882,0.570588,0.705882,0.570588
6,0.720588,0.611029,0.720588,0.611029
7,0.75,0.630147,0.75,0.630147
8,0.75,0.673897,0.75,0.673897
9,0.75,0.665809,0.75,0.665809
10,0.75,0.686397,0.75,0.686397
11,0.75,0.667647,0.75,0.667647
12,0.75,0.656618,0.75,0.656618
13,0.75,0.711765,0.75,0.711765
14,0.75,0.715441,0.75,0.715441
15,0.75,0.719853,0.75,0.719853
16,0.75,0.725735,0.75,0.725735
17,0.75,0.735294,0.75,0.735294
18,0.75,0.743382,0.75,0.743382
19,0.75,0.747794,0.75,0.747794
20,0.75,0.75,0.75,0.75
21,0.75,0.75,0.75,0.75
22,0.75,0.75,0.75,0.75
23,0.75,0.75,0.75,0.75
24,0.75,0.75,0.75,0.75
25,0.75,0.75,0.75,0.75
26,0.75,0.75,0.75,0.75
27,0.75,0.75,0.75,0.75
28,0.75,0.75,0.75,0.75
29,0.75,0.75,0.75,0.75
30,0.75,0.75,0.75,0.75
31,0.75,0.740441,0.75,0.740441
32,0.75,0.75,0.75,0.75
33,0.75,0.747059,0.75,0.747059
34,0.75,0.75,0.75,0.75
35,0.75,0.75,0.75,0.75
36,0.75,0.75,0.75,0.75
37,0.75,0.75,0.75,0.75
38,0.75,0.75,0.75,0.75
39,0.75,0.75,0.75,0.75
40,0.75,0.75,0.75,0.75
41,0.75,0.743015,0.75,0.743015
42,0.75,0.75,0.75,0.75
43,0.75,0.75,0.75,0.75
44,0.75,0.75,0.75,0.75
45,0.75,0.75,0.75,0.75
46,0.75,0.75,0.75,0.75
47,0.75,0.75,0.75,0.75
48,0.75,0.75,0.75,0.75
49,0.75,0.75,0.75,0.75
50,0.75,0.75,0.75,0.75
51,0.75,0.75,0.75,0.75
52,0.75,0.736765,0.75,0.736765
53,0.75,0.743382,0.75,0.743382
54,0.75,0.743382,0.75,0.743382
55,0.75,0.747059,0.75,0.747059
56,0.75,0.75,0.75,0.75
57,0.75,0.75,0.75,0.75
58,0.75,0.75,0.75,0.75
59,0.75,0.75,0.75,0.75
60,0.75,0.75,0.75,0.75
61,0.75,0.75,0.75,0.75
62,0.75,0.75,0.75,0.75
63,0.75,0.75,0.75,0.75
64,0.75,0.75,0.75,0.75
65,0.75,0.743382,0.75,0.743382
66,0.75,0.75,0.75,0.75
67,0.75,0.75,0.75,0.75
68,0.75,0.747059,0.75,0.747059
69,0.75,0.747059,0.75,0.747059
70,0.75,0.747059,0.75,0.747059
71,0.75,0.747059,0.75,0.747059
72,0.75,0.75,0.75,0.75
73,0.75,0.75,0.75,0.75
74,0.75,0.75,0.75,0.75
75,0.75,0.75,0.75,0.75
76,0.75,0.75,0.75,0.75
77,0.75,0.75,0.75,0.75
78,0.75,0.75,0.75,0.75
79,0.75,0.75,0.75,0.75
80,0.75,0.75,0.75,0.75
81,0.75,0.75,0.75,0.75
82,0.75,0.741912,0.75,0.741912
83,0.75,0.75,0.75,0.75
84,0.75,0.75,0.75,0.75
85,0.75,0.75,0.75,0.75
86,0.75,0.75,0.75,0.75
87,0.75,0.75,0.75,0.75
88,0.75,0.75,0.75,0.75
89,0.75,0.730882,0.75,0.730882
90,0.75,0.75,0.75,0.75
91,0.75,0.75,0.75,0.75
92,0.75,0.75,0.75,0.75
93,0.75,0.741912,0.75,0.741912
94,0.75,0.75,0.75,0.75
95,0.75,0.75,0.75,0.75
96,0.75,0.75,0.75,0.75
97,0.75,0.75,0.75,0.75
98,0.75,0.707353,0.75,0.707353
99,0.75,0.743382,0.75,0.743382
100,0.75,0.75,0.75,0.75
101,0.75,0.75,0.75,0.75
102,0.75,0.75,0.75,0.75
103,0.75,0.75,0.75,0.75
104,0.75,0.745956,0.75,0.745956
105,0.75,0.730515,0.75,0.730515
106,0.75,0.745956,0.75,0.745956
107,0.75,0.75,0.75,0.75
108,0.75,0.75,0.75,0.75
109,0.75,0.75,0.75,0.75
110,0.75,0.75,0.75,0.75
111,0.75,0.730882,0.75,0.730882
112,0.75,0.727206,0.75,0.727206
113,0.75,0.736397,0.75,0.736397
114,0.75,0.730515,0.75,0.730515
115,0.75,0.745956,0.75,0.745956
116,0.75,0.75,0.75,0.75
117,0.75,0.721324,0.75,0.721324
118,0.75,0.740441,0.75,0.740441
119,0.75,0.745956,0.75,0.745956
120,0.75,0.747059,0.75,0.747059
121,0.75,0.75,0.75,0.75
122,0.75,0.75,0.75,0.75
123,0.75,0.75,0.75,0.75
124,0.75,0.740441,0.75,0.740441
125,0.75,0.740441,0.75,0.740441
126,0.75,0.733824,0.75,0.733824
127,0.75,0.736765,0.75,0.736765
128,0.75,0.736765,0.75,0.736765
129,0.75,0.743382,0.75,0.743382
130,0.75,0.714706,0.75,0.714706
131,0.75,0.716912,0.75,0.716912
132,0.75,0.716912,0.75,0.716912
133,0.75,0.736029,0.75,0.736029
134,0.75,0.745588,0.75,0.745588
135,0.75,0.745956,0.75,0.745956
136,0.75,0.745956,0.75,0.745956
137,0.75,0.75,0.75,0.75
138,0.75,0.75,0.75,0.75
139,0.75,0.75,0.75,0.75
140,0.75,0.745956,0.75,0.745956
141,0.75,0.741912,0.75,0.741912
142,0.75,0.706618,0.75,0.706618
143,0.75,0.725735,0.75,0.725735
144,0.75,0.735294,0.75,0.735294
145,0.75,0.738603,0.75,0.738603
146,0.75,0.743015,0.75,0.743015
147,0.75,0.736397,0.75,0.736397
148,0.75,0.745956,0.75,0.745956
149,0.75,0.75,0.75,0.75
150,0.75,0.75,0.75,0.75
151,0.75,0.743382,0.75,0.743382
152,0.75,0.743382,0.75,0.743382
153,0.75,0.75,0.75,0.75
154,0.75,0.75,0.75,0.75
155,0.75,0.75,0.75,0.75
156,0.75,0.75,0.75,0.75
157,0.75,0.75,0.75,0.75
158,0.75,0.75,0.75,0.75
159,0.75,0.75,0.75,0.75
160,0.75,0.75,0.75,0.75
